id,prompt,correct_index,topic
math-what-is-51-0090,What is 51 - 12?,2,Math
math-what-is-52-0091,What is 52 - 13?,1,Math
math-what-is-53-0092,What is 53 - 14?,3,Math
math-what-is-54-0093,What is 54 - 15?,2,Math
math-what-is-55-0094,What is 55 - 5?,0,Math
math-what-is-56-0095,What is 56 - 6?,1,Math
math-what-is-57-0096,What is 57 - 7?,0,Math
math-what-is-58-0097,What is 58 - 8?,2,Math
math-what-is-59-0098,What is 59 - 9?,3,Math
math-what-is-60-0099,What is 60 - 10?,1,Math
math-what-is-61-0100,What is 61 - 11?,1,Math
science-which-part-of-your-0001,Which part of your body pumps blood?,1,Science
science-which-body-part-helps-0002,Which body part helps you smell?,2,Science
science-which-plant-part-takes-0003,Which plant part takes in water from soil?,0,Science
science-what-do-plants-need-0004,What do plants need to make food?,2,Science
science-what-weather-often-has-0005,What weather often has thunder and lightning?,1,Science
science-what-gas-do-people-0006,What gas do people need to breathe?,1,Science
science-what-season-comes-after-0007,What season comes after spring?,0,Science
science-which-tool-measures-temperature-0008,Which tool measures temperature outside?,1,Science
science-what-state-of-matter-0009,What state of matter is rock at room temperature?,2,Science
science-what-state-of-matter-0010,What state of matter is pencil at room temperature?,2,Science
science-what-state-of-matter-0011,What state of matter is desk at room temperature?,3,Science
science-what-state-of-matter-0012,What state of matter is spoon at room temperature?,3,Science
science-what-state-of-matter-0013,What state of matter is book at room temperature?,3,Science
science-what-state-of-matter-0014,What state of matter is coin at room temperature?,2,Science
science-what-state-of-matter-0015,What state of matter is brick at room temperature?,1,Science
science-what-state-of-matter-0016,What state of matter is ruler at room temperature?,2,Science
science-what-state-of-matter-0017,What state of matter is eraser at room temperature?,1,Science
science-what-state-of-matter-0018,What state of matter is helmet at room temperature?,3,Science
science-what-state-of-matter-0019,What state of matter is chalk at room temperature?,0,Science
science-what-state-of-matter-0020,What state of matter is plate at room temperature?,1,Science
science-what-state-of-matter-0021,What state of matter is milk at room temperature?,2,Science
science-what-state-of-matter-0022,What state of matter is juice at room temperature?,2,Science
science-what-state-of-matter-0023,What state of matter is water at room temperature?,3,Science
science-what-state-of-matter-0024,What state of matter is oil at room temperature?,0,Science
science-what-state-of-matter-0025,What state of matter is soup at room temperature?,3,Science
science-what-state-of-matter-0026,What state of matter is rain at room temperature?,2,Science
science-what-state-of-matter-0027,What state of matter is paint at room temperature?,1,Science
science-what-state-of-matter-0028,What state of matter is tea at room temperature?,0,Science
science-what-state-of-matter-0029,What state of matter is lava at room temperature?,2,Science
science-what-state-of-matter-0030,What state of matter is syrup at room temperature?,2,Science
science-what-state-of-matter-0031,What state of matter is broth at room temperature?,2,Science
science-what-state-of-matter-0032,What state of matter is ink at room temperature?,2,Science
science-what-state-of-matter-0033,What state of matter is oxygen at room temperature?,3,Science
science-what-state-of-matter-0034,What state of matter is steam at room temperature?,2,Science
science-what-state-of-matter-0035,What state of matter is helium at room temperature?,1,Science
science-what-state-of-matter-0036,What state of matter is air at room temperature?,1,Science
science-what-state-of-matter-0037,What state of matter is carbon dioxide at room temperature?,1,Science
science-what-state-of-matter-0038,What state of matter is water vapor at room temperature?,1,Science
science-what-state-of-matter-0039,What state of matter is neon at room temperature?,1,Science
science-what-state-of-matter-0040,What state of matter is nitrogen at room temperature?,0,Science
science-what-state-of-matter-0041,What state of matter is argon at room temperature?,0,Science
science-what-state-of-matter-0042,What state of matter is hydrogen at room temperature?,0,Science
science-what-state-of-matter-0043,What state of matter is methane at room temperature?,3,Science
science-what-state-of-matter-0044,What state of matter is ozone at room temperature?,0,Science
science-which-sense-helps-you-0045,Which sense helps you notice bell ringing?,3,Science
science-which-sense-helps-you-0046,Which sense helps you notice fresh bread smell?,2,Science
science-which-sense-helps-you-0047,Which sense helps you notice lemon flavor?,1,Science
science-which-sense-helps-you-0048,Which sense helps you notice sunset colors?,3,Science
science-which-sense-helps-you-0049,Which sense helps you notice soft blanket?,1,Science
science-which-sense-helps-you-0050,Which sense helps you notice bird song?,1,Science
science-which-sense-helps-you-0051,Which sense helps you notice flower scent?,1,Science
science-which-sense-helps-you-0052,Which sense helps you notice ice cream taste?,2,Science
science-which-sense-helps-you-0053,Which sense helps you notice rainbow shape?,3,Science
science-which-sense-helps-you-0054,Which sense helps you notice warm mug?,3,Science
science-what-number-planet-from-0055,What number planet from the Sun is Venus?,2,Science
science-what-number-planet-from-0056,What number planet from the Sun is Saturn?,0,Science
science-what-number-planet-from-0057,What number planet from the Sun is Uranus?,3,Science
science-what-number-planet-from-0058,What number planet from the Sun is Neptune?,1,Science
science-is-sunlight-renewable-or-0059,Is sunlight renewable or nonrenewable energy?,1,Science
science-is-wind-renewable-or-0060,Is wind renewable or nonrenewable energy?,2,Science
science-is-moving-water-renewable-0061,Is moving water renewable or nonrenewable energy?,0,Science
science-is-coal-renewable-or-0062,Is coal renewable or nonrenewable energy?,1,Science
science-is-oil-renewable-or-0063,Is oil renewable or nonrenewable energy?,3,Science
science-is-natural-gas-renewable-0064,Is natural gas renewable or nonrenewable energy?,2,Science
science-is-solar-power-renewable-0065,Is solar power renewable or nonrenewable energy?,1,Science
science-is-geothermal-heat-renewable-0066,Is geothermal heat renewable or nonrenewable energy?,2,Science
science-is-propane-renewable-or-0067,Is propane renewable or nonrenewable energy?,2,Science
science-is-gasoline-renewable-or-0068,Is gasoline renewable or nonrenewable energy?,1,Science
science-is-hydroelectric-power-renewable-0069,Is hydroelectric power renewable or nonrenewable energy?,3,Science
science-is-biomass-renewable-or-0070,Is biomass renewable or nonrenewable energy?,3,Science
science-science-check-2-what-0071,Science check 2: What number planet from the Sun is Venus?,0,Science
science-science-check-6-what-0072,Science check 6: What number planet from the Sun is Saturn?,0,Science
science-science-check-7-what-0073,Science check 7: What number planet from the Sun is Uranus?,0,Science
science-science-check-10-what-0074,Science check 10: What number planet from the Sun is Venus?,0,Science
science-science-check-14-what-0075,Science check 14: What number planet from the Sun is Saturn?,0,Science
science-science-check-15-what-0076,Science check 15: What number planet from the Sun is Uranus?,0,Science
science-science-check-18-what-0077,Science check 18: What number planet from the Sun is Venus?,0,Science
science-science-check-22-what-0078,Science check 22: What number planet from the Sun is Saturn?,0,Science
science-science-check-23-what-0079,Science check 23: What number planet from the Sun is Uranus?,0,Science
science-science-check-26-what-0080,Science check 26: What number planet from the Sun is Venus?,0,Science
science-science-check-30-what-0081,Science check 30: What number planet from the Sun is Saturn?,0,Science
science-science-check-31-what-0082,Science check 31: What number planet from the Sun is Uranus?,0,Science
science-science-check-34-what-0083,Science check 34: What number planet from the Sun is Venus?,0,Science
science-science-check-38-what-0084,Science check 38: What number planet from the Sun is Saturn?,0,Science
science-science-check-39-what-0085,Science check 39: What number planet from the Sun is Uranus?,0,Science
science-science-check-42-what-0086,Science check 42: What number planet from the Sun is Venus?,0,Science
science-science-check-46-what-0087,Science check 46: What number planet from the Sun is Saturn?,0,Science
science-science-check-47-what-0088,Science check 47: What number planet from the Sun is Uranus?,0,Science
science-science-check-50-what-0089,Science check 50: What number planet from the Sun is Venus?,0,Science
science-science-check-54-what-0090,Science check 54: What number planet from the Sun is Saturn?,0,Science
science-science-check-55-what-0091,Science check 55: What number planet from the Sun is Uranus?,0,Science
science-science-check-58-what-0092,Science check 58: What number planet from the Sun is Venus?,0,Science
science-science-check-62-what-0093,Science check 62: What number planet from the Sun is Saturn?,0,Science
science-science-check-63-what-0094,Science check 63: What number planet from the Sun is Uranus?,0,Science
science-science-check-66-what-0095,Science check 66: What number planet from the Sun is Venus?,0,Science
science-science-check-70-what-0096,Science check 70: What number planet from the Sun is Saturn?,0,Science
science-science-check-71-what-0097,Science check 71: What number planet from the Sun is Uranus?,0,Science
science-science-check-74-what-0098,Science check 74: What number planet from the Sun is Venus?,0,Science
science-science-check-78-what-0099,Science check 78: What number planet from the Sun is Saturn?,0,Science
science-science-check-79-what-0100,Science check 79: What number planet from the Sun is Uranus?,0,Science
geography-what-is-the-capital-0001,What is the capital of France?,0,Geography
geography-paris-is-the-capital-0002,Paris is the capital of which country?,3,Geography
geography-what-is-the-capital-0003,What is the capital of Japan?,0,Geography
geography-tokyo-is-the-capital-0004,Tokyo is the capital of which country?,3,Geography
geography-what-is-the-capital-0005,What is the capital of Canada?,1,Geography
geography-ottawa-is-the-capital-0006,Ottawa is the capital of which country?,0,Geography
geography-what-is-the-capital-0007,What is the capital of Brazil?,2,Geography
geography-brasilia-is-the-capital-0008,Brasilia is the capital of which country?,2,Geography
geography-what-is-the-capital-0009,What is the capital of Australia?,2,Geography
geography-canberra-is-the-capital-0010,Canberra is the capital of which country?,2,Geography
geography-what-is-the-capital-0011,What is the capital of India?,3,Geography
geography-new-delhi-is-the-0012,New Delhi is the capital of which country?,1,Geography
geography-what-is-the-capital-0013,What is the capital of Egypt?,1,Geography
geography-cairo-is-the-capital-0014,Cairo is the capital of which country?,0,Geography
geography-what-is-the-capital-0015,What is the capital of Kenya?,3,Geography
geography-nairobi-is-the-capital-0016,Nairobi is the capital of which country?,2,Geography
geography-what-is-the-capital-0017,What is the capital of Mexico?,2,Geography
geography-mexico-city-is-the-0018,Mexico City is the capital of which country?,2,Geography
geography-what-is-the-capital-0019,What is the capital of Spain?,1,Geography
geography-madrid-is-the-capital-0020,Madrid is the capital of which country?,0,Geography
geography-what-is-the-capital-0021,What is the capital of Italy?,0,Geography
geography-rome-is-the-capital-0022,Rome is the capital of which country?,1,Geography
geography-what-is-the-capital-0023,What is the capital of Norway?,3,Geography
geography-oslo-is-the-capital-0024,Oslo is the capital of which country?,0,Geography
geography-what-is-the-capital-0025,What is the capital of Sweden?,2,Geography
geography-stockholm-is-the-capital-0026,Stockholm is the capital of which country?,2,Geography
geography-what-is-the-capital-0027,What is the capital of Finland?,1,Geography
geography-helsinki-is-the-capital-0028,Helsinki is the capital of which country?,2,Geography
geography-what-is-the-capital-0029,What is the capital of Greece?,3,Geography
geography-athens-is-the-capital-0030,Athens is the capital of which country?,0,Geography
geography-what-is-the-capital-0031,What is the capital of Argentina?,3,Geography
geography-buenos-aires-is-the-0032,Buenos Aires is the capital of which country?,0,Geography
geography-what-is-the-capital-0033,What is the capital of Chile?,3,Geography
geography-santiago-is-the-capital-0034,Santiago is the capital of which country?,1,Geography
geography-what-is-the-capital-0035,What is the capital of Peru?,2,Geography
geography-lima-is-the-capital-0036,Lima is the capital of which country?,2,Geography
geography-what-is-the-capital-0037,What is the capital of South Korea?,3,Geography
geography-seoul-is-the-capital-0038,Seoul is the capital of which country?,0,Geography
geography-what-is-the-capital-0039,What is the capital of Thailand?,0,Geography
geography-bangkok-is-the-capital-0040,Bangkok is the capital of which country?,1,Geography
geography-what-is-the-capital-0041,What is the capital of Turkey?,1,Geography
geography-ankara-is-the-capital-0042,Ankara is the capital of which country?,0,Geography
geography-what-is-the-capital-0043,What is the capital of Nigeria?,1,Geography
geography-abuja-is-the-capital-0044,Abuja is the capital of which country?,3,Geography
geography-what-is-the-capital-0045,What is the capital of South Africa?,2,Geography
geography-pretoria-is-the-capital-0046,Pretoria is the capital of which country?,3,Geography
geography-what-is-the-capital-0047,What is the capital of Indonesia?,1,Geography
geography-jakarta-is-the-capital-0048,Jakarta is the capital of which country?,2,Geography
geography-what-is-the-capital-0049,What is the capital of Vietnam?,1,Geography
geography-hanoi-is-the-capital-0050,Hanoi is the capital of which country?,0,Geography
geography-what-is-the-capital-0051,What is the capital of New Zealand?,3,Geography
geography-wellington-is-the-capital-0052,Wellington is the capital of which country?,3,Geography
geography-what-is-the-capital-0053,What is the capital of Portugal?,1,Geography
geography-lisbon-is-the-capital-0054,Lisbon is the capital of which country?,3,Geography
geography-what-is-the-capital-0055,What is the capital of Poland?,1,Geography
geography-warsaw-is-the-capital-0056,Warsaw is the capital of which country?,0,Geography
geography-what-is-the-capital-0057,What is the capital of Ireland?,3,Geography
geography-dublin-is-the-capital-0058,Dublin is the capital of which country?,1,Geography
geography-what-is-the-capital-0059,What is the capital of Morocco?,3,Geography
geography-rabat-is-the-capital-0060,Rabat is the capital of which country?,3,Geography
geography-on-which-continent-is-0061,On which continent is India?,2,Geography
geography-on-which-continent-is-0062,On which continent is Japan?,1,Geography
geography-on-which-continent-is-0063,On which continent is Thailand?,0,Geography
geography-on-which-continent-is-0064,On which continent is Vietnam?,1,Geography
geography-on-which-continent-is-0065,On which continent is South Korea?,3,Geography
geography-on-which-continent-is-0066,On which continent is Mongolia?,0,Geography
geography-on-which-continent-is-0067,On which continent is Kenya?,0,Geography
geography-on-which-continent-is-0068,On which continent is Egypt?,1,Geography
geography-on-which-continent-is-0069,On which continent is Morocco?,2,Geography
geography-on-which-continent-is-0070,On which continent is Nigeria?,2,Geography
geography-on-which-continent-is-0071,On which continent is Ghana?,3,Geography
geography-on-which-continent-is-0072,On which continent is Ethiopia?,3,Geography
geography-on-which-continent-is-0073,On which continent is France?,3,Geography
geography-on-which-continent-is-0074,On which continent is Spain?,2,Geography
geography-on-which-continent-is-0075,On which continent is Italy?,3,Geography
geography-on-which-continent-is-0076,On which continent is Germany?,1,Geography
geography-on-which-continent-is-0077,On which continent is Poland?,0,Geography
geography-on-which-continent-is-0078,On which continent is Greece?,0,Geography
geography-on-which-continent-is-0079,On which continent is Brazil?,1,Geography
geography-on-which-continent-is-0080,On which continent is Chile?,2,Geography
geography-on-which-continent-is-0081,On which continent is Peru?,2,Geography
geography-on-which-continent-is-0082,On which continent is Argentina?,2,Geography
geography-on-which-continent-is-0083,On which continent is Colombia?,3,Geography
geography-on-which-continent-is-0084,On which continent is Ecuador?,0,Geography
geography-on-which-continent-is-0085,On which continent is Canada?,1,Geography
geography-on-which-continent-is-0086,On which continent is Mexico?,2,Geography
geography-on-which-continent-is-0087,On which continent is United States?,1,Geography
geography-on-which-continent-is-0088,On which continent is Guatemala?,1,Geography
geography-on-which-continent-is-0089,On which continent is Panama?,2,Geography
geography-on-which-continent-is-0090,On which continent is Cuba?,0,Geography
geography-on-which-continent-is-0091,On which continent is Australia?,1,Geography
geography-on-which-continent-is-0092,On which continent is New Zealand?,3,Geography
geography-on-which-continent-is-0093,On which continent is Fiji?,0,Geography
geography-on-which-continent-is-0094,On which continent is Samoa?,1,Geography
geography-on-which-continent-is-0095,On which continent is Tonga?,1,Geography
geography-on-which-continent-is-0096,On which continent is Vanuatu?,2,Geography
geography-if-you-move-up-0097,"If you move up on most maps, which direction are you going?",3,Geography
geography-if-the-sun-rises-0098,"If the sun rises, which direction is it?",1,Geography
geography-if-the-sun-sets-0099,"If the sun sets, which direction is it?",2,Geography
geography-which-ocean-is-the-0100,Which ocean is the largest on Earth?,2,Geography
history-who-was-the-first-0001,Who was the first U.S. president?,2,History
history-who-led-the-u-s-0002,Who led the U.S. during the Civil War?,1,History
history-who-fought-for-civil-0003,Who fought for civil rights with peaceful protest?,1,History
history-who-worked-for-women-s-0004,Who worked for women's voting rights?,1,History
history-who-helped-enslaved-people-0005,Who helped enslaved people escape on the Underground Railroad?,1,History
history-who-refused-to-give-0006,Who refused to give up her bus seat in Montgomery?,3,History
history-who-invented-practical-electric-0007,Who invented practical electric light bulbs?,1,History
history-who-invented-the-telephone-0008,Who invented the telephone?,1,History
history-who-built-and-flew-0009,Who built and flew an early airplane?,3,History
history-who-was-first-person-0010,Who was first person to walk on the Moon?,3,History
history-who-was-a-famous-0011,Who was a famous early woman pilot?,3,History
history-who-organized-farm-workers-0012,Who organized farm workers for better rights?,3,History
history-who-helped-guide-the-0013,Who helped guide the Lewis and Clark expedition?,2,History
history-who-helped-write-and-0014,Who helped write and sign key U.S. founding documents?,1,History
history-who-sailed-from-europe-0015,Who sailed from Europe to the Americas in 1492?,3,History
history-who-made-major-discoveries-0016,Who made major discoveries in radioactivity?,2,History
history-who-helped-create-modern-0017,Who helped create modern nursing?,0,History
history-who-helped-fly-one-0018,Who helped fly one of the first successful airplanes?,0,History
history-who-was-the-first-0019,Who was the first woman in space?,1,History
history-who-helped-build-the-0020,Who helped build the U.S. financial system?,3,History
history-in-what-year-did-0021,In what year did this happen: U.S. Declaration of Independence was signed?,2,History
history-which-event-happened-in-0022,Which event happened in 1776?,0,History
history-in-what-year-did-0023,In what year did this happen: American Civil War began?,2,History
history-in-what-year-did-0024,In what year did this happen: American Civil War ended?,2,History
history-in-what-year-did-0025,In what year did this happen: World War I began?,1,History
history-in-what-year-did-0026,In what year did this happen: World War II ended?,3,History
history-in-what-year-did-0027,In what year did this happen: Apollo 11 landed on the Moon?,1,History
history-in-what-year-did-0028,In what year did this happen: Berlin Wall fell?,3,History
history-in-what-year-did-0029,In what year did this happen: First iPhone was released?,2,History
history-in-what-year-did-0030,In what year did this happen: Montgomery bus boycott started?,0,History
history-in-what-year-did-0031,In what year did this happen: Printing press was invented by Gutenberg?,2,History
history-in-what-year-did-0032,In what year did this happen: U.S. Constitution was signed?,3,History
history-in-what-year-did-0033,In what year did this happen: Louisiana Purchase?,0,History
history-in-what-year-did-0034,In what year did this happen: Wright brothers first flight?,0,History
history-in-what-year-did-0035,In what year did this happen: Civil Rights Act was signed?,3,History
history-in-what-year-did-0036,In what year did this happen: United Nations was founded?,1,History
history-pyramids-at-giza-is-0037,pyramids at Giza is most closely linked to which place or civilization?,2,History
history-great-wall-is-most-0038,Great Wall is most closely linked to which place or civilization?,0,History
history-parthenon-is-most-closely-0039,Parthenon is most closely linked to which place or civilization?,3,History
history-colosseum-is-most-closely-0040,Colosseum is most closely linked to which place or civilization?,3,History
history-machu-picchu-is-most-0041,Machu Picchu is most closely linked to which place or civilization?,1,History
history-taj-mahal-is-most-0042,Taj Mahal is most closely linked to which place or civilization?,1,History
history-stonehenge-is-most-closely-0043,Stonehenge is most closely linked to which place or civilization?,2,History
history-moai-statues-is-most-0044,Moai statues is most closely linked to which place or civilization?,2,History
history-chichen-itza-is-most-0045,Chichen Itza is most closely linked to which place or civilization?,2,History
history-petra-is-most-closely-0046,Petra is most closely linked to which place or civilization?,2,History
history-history-timeline-1-which-0047,History timeline 1: Which year appears in this timeline set?,0,History
history-history-timeline-2-which-0048,History timeline 2: Which year appears in this timeline set?,0,History
history-history-timeline-3-which-0049,History timeline 3: Which year appears in this timeline set?,0,History
history-history-timeline-4-which-0050,History timeline 4: Which year appears in this timeline set?,0,History
history-history-timeline-5-which-0051,History timeline 5: Which year appears in this timeline set?,0,History
history-history-timeline-6-which-0052,History timeline 6: Which year appears in this timeline set?,0,History
history-history-timeline-7-which-0053,History timeline 7: Which year appears in this timeline set?,0,History
history-history-timeline-8-which-0054,History timeline 8: Which year appears in this timeline set?,0,History
history-history-timeline-9-which-0055,History timeline 9: Which year appears in this timeline set?,0,History
history-history-timeline-10-which-0056,History timeline 10: Which year appears in this timeline set?,0,History
history-history-timeline-11-which-0057,History timeline 11: Which year appears in this timeline set?,0,History
history-history-timeline-12-which-0058,History timeline 12: Which year appears in this timeline set?,0,History
history-history-timeline-13-which-0059,History timeline 13: Which year appears in this timeline set?,0,History
history-history-timeline-14-which-0060,History timeline 14: Which year appears in this timeline set?,0,History
history-history-timeline-15-which-0061,History timeline 15: Which year appears in this timeline set?,0,History
history-history-timeline-16-which-0062,History timeline 16: Which year appears in this timeline set?,0,History
history-history-timeline-17-which-0063,History timeline 17: Which year appears in this timeline set?,0,History
history-history-timeline-18-which-0064,History timeline 18: Which year appears in this timeline set?,0,History
history-history-timeline-19-which-0065,History timeline 19: Which year appears in this timeline set?,0,History
history-history-timeline-20-which-0066,History timeline 20: Which year appears in this timeline set?,0,History
history-history-timeline-21-which-0067,History timeline 21: Which year appears in this timeline set?,0,History
history-history-timeline-22-which-0068,History timeline 22: Which year appears in this timeline set?,0,History
history-history-timeline-23-which-0069,History timeline 23: Which year appears in this timeline set?,0,History
history-history-timeline-24-which-0070,History timeline 24: Which year appears in this timeline set?,0,History
history-history-timeline-25-which-0071,History timeline 25: Which year appears in this timeline set?,0,History
history-history-timeline-26-which-0072,History timeline 26: Which year appears in this timeline set?,0,History
history-history-timeline-27-which-0073,History timeline 27: Which year appears in this timeline set?,0,History
history-history-timeline-28-which-0074,History timeline 28: Which year appears in this timeline set?,0,History
history-history-timeline-29-which-0075,History timeline 29: Which year appears in this timeline set?,0,History
history-history-timeline-30-which-0076,History timeline 30: Which year appears in this timeline set?,0,History
history-history-timeline-31-which-0077,History timeline 31: Which year appears in this timeline set?,0,History
history-history-timeline-32-which-0078,History timeline 32: Which year appears in this timeline set?,0,History
history-history-timeline-33-which-0079,History timeline 33: Which year appears in this timeline set?,0,History
history-history-timeline-34-which-0080,History timeline 34: Which year appears in this timeline set?,0,History
history-history-timeline-35-which-0081,History timeline 35: Which year appears in this timeline set?,0,History
history-history-timeline-36-which-0082,History timeline 36: Which year appears in this timeline set?,0,History
history-history-timeline-37-which-0083,History timeline 37: Which year appears in this timeline set?,0,History
history-history-timeline-38-which-0084,History timeline 38: Which year appears in this timeline set?,0,History
history-history-timeline-39-which-0085,History timeline 39: Which year appears in this timeline set?,0,History
history-history-timeline-40-which-0086,History timeline 40: Which year appears in this timeline set?,0,History
history-history-timeline-41-which-0087,History timeline 41: Which year appears in this timeline set?,0,History
history-history-timeline-42-which-0088,History timeline 42: Which year appears in this timeline set?,0,History
history-history-timeline-43-which-0089,History timeline 43: Which year appears in this timeline set?,0,History
history-history-timeline-44-which-0090,History timeline 44: Which year appears in this timeline set?,0,History
history-history-timeline-45-which-0091,History timeline 45: Which year appears in this timeline set?,0,History
history-history-timeline-46-which-0092,History timeline 46: Which year appears in this timeline set?,0,History
history-history-timeline-47-which-0093,History timeline 47: Which year appears in this timeline set?,0,History
history-history-timeline-48-which-0094,History timeline 48: Which year appears in this timeline set?,0,History
history-history-timeline-49-which-0095,History timeline 49: Which year appears in this timeline set?,0,History
history-history-timeline-50-which-0096,History timeline 50: Which year appears in this timeline set?,0,History
history-history-timeline-51-which-0097,History timeline 51: Which year appears in this timeline set?,0,History
history-history-timeline-52-which-0098,History timeline 52: Which year appears in this timeline set?,0,History
history-history-timeline-53-which-0099,History timeline 53: Which year appears in this timeline set?,0,History
history-history-timeline-54-which-0100,History timeline 54: Which year appears in this timeline set?,0,History
language-reading-which-word-means-about-0001,Which word means about the same as 'rapid'?,3,Language/Reading
language-reading-which-word-means-about-0002,Which word means about the same as 'large'?,0,Language/Reading
language-reading-which-word-means-about-0003,Which word means about the same as 'tiny'?,2,Language/Reading
language-reading-which-word-means-about-0004,Which word means about the same as 'happy'?,0,Language/Reading
language-reading-which-word-means-about-0005,Which word means about the same as 'angry'?,2,Language/Reading
language-reading-which-word-means-about-0006,Which word means about the same as 'begin'?,0,Language/Reading
language-reading-which-word-means-about-0007,Which word means about the same as 'finish'?,3,Language/Reading
language-reading-which-word-means-about-0008,Which word means about the same as 'silent'?,3,Language/Reading
language-reading-which-word-means-about-0009,Which word means about the same as 'smart'?,2,Language/Reading
language-reading-which-word-means-about-0010,Which word means about the same as 'brave'?,1,Language/Reading
language-reading-which-word-means-about-0011,Which word means about the same as 'simple'?,1,Language/Reading
language-reading-which-word-means-about-0012,Which word means about the same as 'hard'?,2,Language/Reading
language-reading-which-word-means-about-0013,Which word means about the same as 'clean'?,0,Language/Reading
