review_id,topic,id,prompt,option_0,option_1,option_2,option_3,correct_index,approved,notes
RVW-0054,Science,science-science-check-39-what-0085,Science check 39: What number planet from the Sun is Uranus?,7,6,8,4,0,,
RVW-0055,Science,science-is-solar-power-renewable-0065,Is solar power renewable or nonrenewable energy?,Mechanical,Renewable,Nonrenewable,Chemical,1,,
RVW-0056,Science,science-which-body-part-helps-0002,Which body part helps you smell?,Wrist,Toes,Nose,Shoulder,2,,
RVW-0057,Science,science-science-check-15-what-0076,Science check 15: What number planet from the Sun is Uranus?,7,6,8,4,0,,
RVW-0058,Science,science-what-state-of-matter-0018,What state of matter is helmet at room temperature?,Liquid,Gas,Plasma,Solid,3,,
RVW-0059,Science,science-what-state-of-matter-0017,What state of matter is eraser at room temperature?,Gas,Solid,Liquid,Plasma,1,,
RVW-0060,Science,science-what-state-of-matter-0010,What state of matter is pencil at room temperature?,Plasma,Gas,Solid,Liquid,2,,
RVW-0061,Science,science-is-oil-renewable-or-0063,Is oil renewable or nonrenewable energy?,Renewable,Mechanical,Chemical,Nonrenewable,3,,
RVW-0062,Science,science-science-check-22-what-0078,Science check 22: What number planet from the Sun is Saturn?,6,5,7,4,0,,
RVW-0063,Science,science-what-state-of-matter-0028,What state of matter is tea at room temperature?,Liquid,Solid,Plasma,Gas,0,,
RVW-0064,Science,science-what-state-of-matter-0044,What state of matter is ozone at room temperature?,Gas,Solid,Plasma,Liquid,0,,
RVW-0065,Science,science-what-state-of-matter-0011,What state of matter is desk at room temperature?,Gas,Plasma,Liquid,Solid,3,,
RVW-0066,Science,science-what-state-of-matter-0024,What state of matter is oil at room temperature?,Liquid,Plasma,Gas,Solid,0,,
RVW-0067,Science,science-is-hydroelectric-power-renewable-0069,Is hydroelectric power renewable or nonrenewable energy?,Mechanical,Nonrenewable,Chemical,Renewable,3,,
RVW-0068,Science,science-what-state-of-matter-0031,What state of matter is broth at room temperature?,Solid,Plasma,Liquid,Gas,2,,
RVW-0069,Science,science-what-season-comes-after-0007,What season comes after spring?,Summer,Winter,Monsoon,Autumn,0,,
RVW-0070,Science,science-what-state-of-matter-0034,What state of matter is steam at room temperature?,Solid,Plasma,Gas,Liquid,2,,
RVW-0071,Science,science-science-check-54-what-0090,Science check 54: What number planet from the Sun is Saturn?,6,5,7,4,0,,
RVW-0072,Science,science-is-sunlight-renewable-or-0059,Is sunlight renewable or nonrenewable energy?,Nonrenewable,Renewable,Chemical,Mechanical,1,,
RVW-0073,Science,science-what-number-planet-from-0057,What number planet from the Sun is Uranus?,6,4,8,7,3,,
RVW-0074,Science,science-is-moving-water-renewable-0061,Is moving water renewable or nonrenewable energy?,Renewable,Mechanical,Nonrenewable,Chemical,0,,
RVW-0075,Science,science-is-gasoline-renewable-or-0068,Is gasoline renewable or nonrenewable energy?,Renewable,Nonrenewable,Chemical,Mechanical,1,,
RVW-0076,Science,science-what-state-of-matter-0025,What state of matter is soup at room temperature?,Gas,Plasma,Solid,Liquid,3,,
RVW-0077,Science,science-which-sense-helps-you-0054,Which sense helps you notice warm mug?,Ears,Nose,Eyes,Skin,3,,
RVW-0078,Science,science-which-sense-helps-you-0048,Which sense helps you notice sunset colors?,Nose,Tongue,Ears,Eyes,3,,
RVW-0079,Science,science-which-part-of-your-0001,Which part of your body pumps blood?,Stomach,Heart,Lungs,Liver,1,,
RVW-0080,Science,science-science-check-66-what-0095,Science check 66: What number planet from the Sun is Venus?,2,1,3,4,0,,
RVW-0081,Geography,geography-dublin-is-the-capital-0058,Dublin is the capital of which country?,Japan,Ireland,France,Canada,1,,
RVW-0082,Geography,geography-on-which-continent-is-0086,On which continent is Mexico?,Africa,Asia,North America,Europe,2,,
RVW-0083,Geography,geography-on-which-continent-is-0089,On which continent is Panama?,Asia,Africa,North America,Europe,2,,
RVW-0084,Geography,geography-on-which-continent-is-0070,On which continent is Nigeria?,South America,Europe,Africa,Asia,2,,
RVW-0085,Geography,geography-on-which-continent-is-0078,On which continent is Greece?,Europe,Africa,Asia,South America,0,,
RVW-0086,Geography,geography-brasilia-is-the-capital-0008,Brasilia is the capital of which country?,France,Japan,Brazil,Canada,2,,
RVW-0087,Geography,geography-on-which-continent-is-0083,On which continent is Colombia?,Asia,Africa,Europe,South America,3,,
RVW-0088,Geography,geography-what-is-the-capital-0003,What is the capital of Japan?,Tokyo,Brasilia,Paris,Ottawa,0,,
RVW-0089,Geography,geography-pretoria-is-the-capital-0046,Pretoria is the capital of which country?,Canada,Japan,France,South Africa,3,,
RVW-0090,Geography,geography-on-which-continent-is-0073,On which continent is France?,Africa,Asia,South America,Europe,3,,
RVW-0091,Geography,geography-on-which-continent-is-0091,On which continent is Australia?,Asia,Oceania,Europe,Africa,1,,
RVW-0092,Geography,geography-on-which-continent-is-0062,On which continent is Japan?,Africa,Asia,Europe,South America,1,,
RVW-0093,Geography,geography-on-which-continent-is-0092,On which continent is New Zealand?,Europe,Asia,Africa,Oceania,3,,
RVW-0094,Geography,geography-seoul-is-the-capital-0038,Seoul is the capital of which country?,South Korea,Japan,France,Canada,0,,
RVW-0095,Geography,geography-on-which-continent-is-0082,On which continent is Argentina?,Asia,Africa,South America,Europe,2,,
RVW-0096,Geography,geography-wellington-is-the-capital-0052,Wellington is the capital of which country?,Canada,Japan,France,New Zealand,3,,
RVW-0097,Geography,geography-what-is-the-capital-0049,What is the capital of Vietnam?,Ottawa,Hanoi,Tokyo,Paris,1,,
RVW-0098,Geography,geography-hanoi-is-the-capital-0050,Hanoi is the capital of which country?,Vietnam,Canada,France,Japan,0,,
RVW-0099,Geography,geography-ankara-is-the-capital-0042,Ankara is the capital of which country?,Turkey,Canada,France,Japan,0,,
RVW-0100,Geography,geography-on-which-continent-is-0095,On which continent is Tonga?,Asia,Oceania,Europe,Africa,1,,
RVW-0101,Geography,geography-jakarta-is-the-capital-0048,Jakarta is the capital of which country?,France,Canada,Indonesia,Japan,2,,
RVW-0102,Geography,geography-on-which-continent-is-0065,On which continent is South Korea?,Africa,South America,Europe,Asia,3,,
RVW-0103,Geography,geography-on-which-continent-is-0066,On which continent is Mongolia?,Asia,South America,Africa,Europe,0,,
RVW-0104,Geography,geography-what-is-the-capital-0033,What is the capital of Chile?,Ottawa,Paris,Tokyo,Santiago,3,,
RVW-0105,Geography,geography-on-which-continent-is-0080,On which continent is Chile?,Asia,Europe,South America,Africa,2,,
RVW-0106,Geography,geography-what-is-the-capital-0007,What is the capital of Brazil?,Ottawa,Paris,Brasilia,Tokyo,2,,
RVW-0107,Geography,geography-what-is-the-capital-0031,What is the capital of Argentina?,Tokyo,Paris,Ottawa,Buenos Aires,3,,
RVW-0108,Geography,geography-what-is-the-capital-0035,What is the capital of Peru?,Paris,Tokyo,Lima,Ottawa,2,,
RVW-0109,Geography,geography-on-which-continent-is-0079,On which continent is Brazil?,Asia,South America,Africa,Europe,1,,
RVW-0110,Geography,geography-on-which-continent-is-0069,On which continent is Morocco?,Asia,South America,Africa,Europe,2,,
RVW-0111,Geography,geography-lima-is-the-capital-0036,Lima is the capital of which country?,France,Japan,Peru,Canada,2,,
RVW-0112,Geography,geography-what-is-the-capital-0051,What is the capital of New Zealand?,Tokyo,Ottawa,Paris,Wellington,3,,
RVW-0113,Geography,geography-santiago-is-the-capital-0034,Santiago is the capital of which country?,Canada,Chile,Japan,France,1,,
RVW-0114,Geography,geography-what-is-the-capital-0023,What is the capital of Norway?,Ottawa,Tokyo,Paris,Oslo,3,,
RVW-0115,Geography,geography-on-which-continent-is-0061,On which continent is India?,Europe,Africa,Asia,South America,2,,
RVW-0116,Geography,geography-on-which-continent-is-0094,On which continent is Samoa?,Africa,Oceania,Europe,Asia,1,,
RVW-0117,Geography,geography-what-is-the-capital-0001,What is the capital of France?,Paris,Tokyo,Brasilia,Ottawa,0,,
RVW-0118,Geography,geography-rabat-is-the-capital-0060,Rabat is the capital of which country?,Canada,France,Japan,Morocco,3,,
RVW-0119,Geography,geography-new-delhi-is-the-0012,New Delhi is the capital of which country?,Canada,India,Japan,France,1,,
RVW-0120,Geography,geography-what-is-the-capital-0055,What is the capital of Poland?,Paris,Warsaw,Tokyo,Ottawa,1,,
RVW-0121,History,history-who-helped-fly-one-0018,Who helped fly one of the first successful airplanes?,Orville Wright,Abraham Lincoln,Martin Luther King Jr.,George Washington,0,,
RVW-0122,History,history-history-timeline-3-which-0049,History timeline 3: Which year appears in this timeline set?,1803,1798,1810,1818,0,,
RVW-0123,History,history-in-what-year-did-0030,In what year did this happen: Montgomery bus boycott started?,1955,1945,1975,1960,0,,
RVW-0124,History,history-machu-picchu-is-most-0041,Machu Picchu is most closely linked to which place or civilization?,China,Inca civilization,Ancient Greece,Ancient Egypt,1,,
RVW-0125,History,history-who-refused-to-give-0006,Who refused to give up her bus seat in Montgomery?,Martin Luther King Jr.,Abraham Lincoln,George Washington,Rosa Parks,3,,
RVW-0126,History,history-history-timeline-5-which-0051,History timeline 5: Which year appears in this timeline set?,1865,1860,1872,1880,0,,
RVW-0127,History,history-in-what-year-did-0036,In what year did this happen: United Nations was founded?,1935,1945,1950,1965,1,,
RVW-0128,History,history-history-timeline-21-which-0067,History timeline 21: Which year appears in this timeline set?,1865,1860,1872,1880,0,,
RVW-0129,History,history-who-sailed-from-europe-0015,Who sailed from Europe to the Americas in 1492?,Martin Luther King Jr.,Abraham Lincoln,George Washington,Christopher Columbus,3,,
RVW-0130,History,history-history-timeline-6-which-0052,History timeline 6: Which year appears in this timeline set?,1903,1898,1910,1918,0,,
RVW-0131,History,history-taj-mahal-is-most-0042,Taj Mahal is most closely linked to which place or civilization?,China,India,Ancient Greece,Ancient Egypt,1,,
RVW-0132,History,history-in-what-year-did-0027,In what year did this happen: Apollo 11 landed on the Moon?,1989,1969,1959,1974,1,,
RVW-0133,History,history-who-invented-the-telephone-0008,Who invented the telephone?,Abraham Lincoln,Alexander Graham Bell,Martin Luther King Jr.,George Washington,1,,
RVW-0134,History,history-chichen-itza-is-most-0045,Chichen Itza is most closely linked to which place or civilization?,Ancient Greece,China,Maya civilization,Ancient Egypt,2,,
RVW-0135,History,history-stonehenge-is-most-closely-0043,Stonehenge is most closely linked to which place or civilization?,China,Ancient Egypt,United Kingdom,Ancient Greece,2,,
RVW-0136,History,history-who-was-the-first-0019,Who was the first woman in space?,Martin Luther King Jr.,Valentina Tereshkova,George Washington,Abraham Lincoln,1,,
RVW-0137,History,history-history-timeline-19-which-0065,History timeline 19: Which year appears in this timeline set?,1803,1798,1810,1818,0,,
RVW-0138,History,history-in-what-year-did-0031,In what year did this happen: Printing press was invented by Gutenberg?,1430,1460,1440,1445,2,,
RVW-0139,History,history-pyramids-at-giza-is-0037,pyramids at Giza is most closely linked to which place or civilization?,China,Ancient Greece,Ancient Egypt,Ancient Rome,2,,
RVW-0140,History,history-history-timeline-46-which-0092,History timeline 46: Which year appears in this timeline set?,1903,1898,1910,1918,0,,
RVW-0141,History,history-petra-is-most-closely-0046,Petra is most closely linked to which place or civilization?,Ancient Egypt,Ancient Greece,Nabataean civilization,China,2,,
RVW-0142,History,history-who-was-a-famous-0011,Who was a famous early woman pilot?,Martin Luther King Jr.,George Washington,Abraham Lincoln,Amelia Earhart,3,,
RVW-0143,History,history-history-timeline-34-which-0080,History timeline 34: Which year appears in this timeline set?,1787,1782,1794,1802,0,,
RVW-0144,History,history-history-timeline-14-which-0060,History timeline 14: Which year appears in this timeline set?,1903,1898,1910,1918,0,,
RVW-0145,History,history-history-timeline-15-which-0061,History timeline 15: Which year appears in this timeline set?,1945,1940,1952,1960,0,,
RVW-0146,History,history-history-timeline-38-which-0084,History timeline 38: Which year appears in this timeline set?,1903,1898,1910,1918,0,,
RVW-0147,History,history-who-helped-enslaved-people-0005,Who helped enslaved people escape on the Underground Railroad?,Martin Luther King Jr.,Harriet Tubman,George Washington,Abraham Lincoln,1,,
RVW-0148,History,history-history-timeline-33-which-0079,History timeline 33: Which year appears in this timeline set?,1776,1771,1783,1791,0,,
RVW-0149,History,history-history-timeline-31-which-0077,History timeline 31: Which year appears in this timeline set?,1945,1940,1952,1960,0,,
RVW-0150,History,history-who-helped-create-modern-0017,Who helped create modern nursing?,Florence Nightingale,Martin Luther King Jr.,Abraham Lincoln,George Washington,0,,
RVW-0151,History,history-history-timeline-1-which-0047,History timeline 1: Which year appears in this timeline set?,1776,1771,1783,1791,0,,
RVW-0152,History,history-in-what-year-did-0033,In what year did this happen: Louisiana Purchase?,1803,1793,1823,1808,0,,
RVW-0153,History,history-who-helped-guide-the-0013,Who helped guide the Lewis and Clark expedition?,Martin Luther King Jr.,Abraham Lincoln,Sacagawea,George Washington,2,,
RVW-0154,History,history-history-timeline-47-which-0093,History timeline 47: Which year appears in this timeline set?,1945,1940,1952,1960,0,,
RVW-0155,History,history-in-what-year-did-0028,In what year did this happen: Berlin Wall fell?,1979,1994,2009,1989,3,,
RVW-0156,History,history-history-timeline-2-which-0048,History timeline 2: Which year appears in this timeline set?,1787,1782,1794,1802,0,,
RVW-0157,History,history-history-timeline-4-which-0050,History timeline 4: Which year appears in this timeline set?,1861,1856,1868,1876,0,,
RVW-0158,History,history-history-timeline-25-which-0071,History timeline 25: Which year appears in this timeline set?,1776,1771,1783,1791,0,,
RVW-0159,History,history-which-event-happened-in-0022,Which event happened in 1776?,U.S. Declaration of Independence was signed,World War I began,American Civil War began,American Civil War ended,0,,
RVW-0160,History,history-history-timeline-22-which-0068,History timeline 22: Which year appears in this timeline set?,1903,1898,1910,1918,0,,
RVW-0161,Language/Reading,language-reading-what-is-the-opposite-0049,What is the opposite of 'laugh'?,down,cold,cry,late,2,,
RVW-0162,Language/Reading,language-reading-what-is-the-opposite-0054,What is the opposite of 'alive'?,cold,down,late,dead,3,,
RVW-0163,Language/Reading,language-reading-what-is-the-opposite-0047,What is the opposite of 'near'?,late,down,cold,far,3,,
RVW-0164,Language/Reading,language-reading-which-contraction-matches-he-0076,Which contraction matches 'he is'?,don't,won't,he's,can't,2,,
RVW-0165,Language/Reading,language-reading-what-is-the-correct-0098,What is the correct plural form of 'potato'?,potatoes,buses,cities,babies,0,,
RVW-0166,Language/Reading,language-reading-which-word-means-about-0005,Which word means about the same as 'angry'?,rapid,quick,mad,large,2,,
RVW-0167,Language/Reading,language-reading-which-contraction-matches-has-0079,Which contraction matches 'has not'?,won't,don't,can't,hasn't,3,,
RVW-0168,Language/Reading,language-reading-which-contraction-matches-it-0071,Which contraction matches 'it is'?,it's,don't,can't,won't,0,,
RVW-0169,Language/Reading,language-reading-what-is-the-correct-0099,What is the correct plural form of 'knife'?,buses,babies,cities,knives,3,,
RVW-0170,Language/Reading,language-reading-what-is-the-opposite-0041,What is the opposite of 'in'?,cold,late,down,out,3,,
RVW-0171,Language/Reading,language-reading-what-is-the-correct-0093,What is the correct plural form of 'story'?,stories,cities,buses,babies,0,,
RVW-0172,Language/Reading,language-reading-which-word-means-about-0006,Which word means about the same as 'begin'?,start,large,quick,rapid,0,,
RVW-0173,Language/Reading,language-reading-what-is-the-correct-0091,What is the correct plural form of 'leaf'?,cities,babies,buses,leaves,3,,
RVW-0174,Language/Reading,language-reading-which-contraction-matches-do-0068,Which contraction matches 'do not'?,don't,it's,can't,won't,0,,
RVW-0175,Language/Reading,language-reading-which-word-means-about-0029,Which word means about the same as 'sleepy'?,rapid,quick,large,tired,3,,
RVW-0176,Language/Reading,language-reading-what-is-the-correct-0094,What is the correct plural form of 'brush'?,cities,buses,babies,brushes,3,,
RVW-0177,Language/Reading,language-reading-which-word-means-about-0007,Which word means about the same as 'finish'?,quick,large,rapid,end,3,,
RVW-0178,Language/Reading,language-reading-what-is-the-opposite-0062,What is the opposite of 'clean'?,down,cold,late,dirty,3,,
RVW-0179,Language/Reading,language-reading-which-word-means-about-0010,Which word means about the same as 'brave'?,rapid,courageous,large,quick,1,,
RVW-0180,Language/Reading,language-reading-what-is-the-opposite-0053,What is the opposite of 'accept'?,down,refuse,late,cold,1,,
RVW-0181,Language/Reading,language-reading-which-word-means-about-0004,Which word means about the same as 'happy'?,glad,rapid,quick,large,0,,
RVW-0182,Language/Reading,language-reading-which-word-means-about-0001,Which word means about the same as 'rapid'?,tiny,big,large,quick,3,,
RVW-0183,Language/Reading,language-reading-what-is-the-opposite-0052,What is the opposite of 'add'?,down,cold,subtract,late,2,,
RVW-0184,Language/Reading,language-reading-what-is-the-correct-0090,What is the correct plural form of 'fox'?,babies,cities,foxes,buses,2,,
RVW-0185,Language/Reading,language-reading-which-word-means-about-0033,Which word means about the same as 'glow'?,large,quick,rapid,shine,3,,
RVW-0186,Language/Reading,language-reading-what-is-the-opposite-0040,What is the opposite of 'up'?,down,out,late,cold,0,,
RVW-0187,Language/Reading,language-reading-which-word-means-about-0023,Which word means about the same as 'repair'?,rapid,fix,large,quick,1,,
RVW-0188,Language/Reading,language-reading-what-is-the-correct-0092,What is the correct plural form of 'wolf'?,babies,wolves,cities,buses,1,,
RVW-0189,Language/Reading,language-reading-which-word-means-about-0031,Which word means about the same as 'funny'?,large,rapid,quick,silly,3,,
RVW-0190,Language/Reading,language-reading-what-is-the-opposite-0046,What is the opposite of 'strong'?,weak,late,cold,down,0,,
RVW-0191,Language/Reading,language-reading-what-is-the-opposite-0045,What is the opposite of 'young'?,late,cold,old,down,2,,
RVW-0192,Language/Reading,language-reading-what-is-the-opposite-0064,What is the opposite of 'quiet'?,late,cold,down,loud,3,,
RVW-0193,Language/Reading,language-reading-what-is-the-correct-0087,What is the correct plural form of 'city'?,boxes,cities,buses,babies,1,,
RVW-0194,Language/Reading,language-reading-what-is-the-opposite-0066,What is the opposite of 'build'?,down,destroy,late,cold,1,,
RVW-0195,Language/Reading,language-reading-which-word-means-about-0014,Which word means about the same as 'messy'?,rapid,untidy,large,quick,1,,
RVW-0196,Language/Reading,language-reading-what-is-the-correct-0097,What is the correct plural form of 'hero'?,cities,heroes,babies,buses,1,,
RVW-0197,Language/Reading,language-reading-what-is-the-correct-0088,What is the correct plural form of 'bus'?,cities,babies,boxes,buses,3,,
RVW-0198,Language/Reading,language-reading-which-contraction-matches-will-0070,Which contraction matches 'will not'?,it's,don't,won't,can't,2,,
RVW-0199,Language/Reading,language-reading-what-is-the-opposite-0038,What is the opposite of 'hot'?,down,out,late,cold,3,,
RVW-0200,Language/Reading,language-reading-which-word-means-about-0021,Which word means about the same as 'warm'?,rapid,hot,large,quick,1,,
